日期,楼宇,能耗,人数
2026-07-01,教学楼A,850.5,200
2026-07-01,宿舍楼B,1200.3,500
2026-07-02,教学楼A,820.1,180
2026-07-02,宿舍楼B,1150.8,480
2026-07-03,教学楼A,890.2,210
2026-07-03,宿舍楼B,1180.5,490
2026-07-04,教学楼A,760.3,150
2026-07-04,宿舍楼B,1050.2,450
2026-07-05,教学楼A,790.8,160
2026-07-05,宿舍楼B,1080.6,460
2026-07-06,教学楼A,920.4,220
2026-07-06,宿舍楼B,1250.7,520
2026-07-07,教学楼A,880.5,200
2026-07-07,宿舍楼B,1220.3,510
2026-07-08,教学楼A,860.2,190
2026-07-08,宿舍楼B,1190.8,500
2026-07-09,教学楼A,840.6,185
2026-07-09,宿舍楼B,1170.5,495
2026-07-10,教学楼A,770.1,160
2026-07-10,宿舍楼B,1060.4,455
2026-07-11,教学楼A,780.5,165
2026-07-11,宿舍楼B,1075.2,465
2026-07-12,教学楼A,900.3,215
2026-07-12,宿舍楼B,1230.9,515
2026-07-13,教学楼A,870.7,205
2026-07-13,宿舍楼B,1210.1,505sss
